sentence,label,idx
an admittedly middling film ,1,285
", 84 minutes is short ",1,319
it forces you to watch people doing unpleasant things to each other and themselves ,1,645
"the intimate , unguarded moments of folks who live in unusual homes -- ",0,710
should be poignant ,0,827
"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude ",1,1068
so skeeved out that they 'd need a shower ,1,1120
to watch too many barney videos ,1,1264
missing from the girls ' big-screen blowout ,1,1896
avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style ,0,2181
"combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end ",0,2254
of menacing atmosphere ,1,2347
if oscar had a category called best bad film you thought was going to be really awful but was n't ,1,2986
"none of this is meaningful or memorable , but frosting is n't , either , and you would n't turn down a big bowl of that , would you ? ",1,3317
"that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s ",1,3728
you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists ,1,3940
be smarter than any 50 other filmmakers still ,0,3969
about hatred ,1,4053
chuckles ,0,4163
of our most conservative and hidebound movie-making traditions ,0,4524
ominous mood and tension ,0,4760
"lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , ",1,4784
is laughingly ,0,4860
at a snail 's pace ,1,4964
complaining when a film clocks in around 90 minutes these days ,1,4971
look at the list of movies starring ice-t in a major role ,0,4987
crime drama ,0,5019
pungent bite ,1,5105
"if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie . ",1,5201
were insulted ,1,5470
genteel and unsurprising the execution ,1,5478
"raised to a new , self-deprecating level ",1,5502
it demands that you suffer the dreadfulness of war from both sides ,1,5545
trying to cope with the mysterious and brutal nature of adults ,0,5573
sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people . ,1,5864
of barney 's crushingly self-indulgent spectacle ,1,5947
of better films ,0,5956
"is genial but never inspired , and little ",1,6049
to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,0,6610
", an archetypal desire to enjoy good trash every now and then . ",0,7107
is an undeniably worthy and devastating experience ,0,7250
"evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes . ",0,7274
a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy ,0,7658
recommend `` never again ,1,8074
between flaccid satire and what ,1,8113
in spite of featuring a script credited to no fewer than five writers ,1,8648
gimmicky ,1,9310
anyone in his right mind would want to see the it ,1,10042
an american ( and an america ) always reaching for something just outside his grasp ,0,10103
starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it were n't true ,1,10372
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , ",0,10515
much of the film with a creepy and dead-on performance ,0,10525
a literary detective story is still a detective story ,0,10671
"he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car ",1,11046
to an imitation movie ,1,11214
to creep the living hell out of you ,0,11656
teeth-gnashing ,0,11758
the marvelous first 101 minutes have to be combined with the misconceived final 5 ,1,11998
just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny ,1,12086
could make you weep ,0,12586
succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad ,1,12821
a ploddingly melodramatic structure ,1,12838
"self-deprecating , biting and witty feature ",0,12885
the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore ,1,13104
of softheaded metaphysical claptrap ,1,13238
all the blanket statements and dime-store ruminations ,1,13394
"the movie is silly beyond comprehension , ",1,13418
"the young actors , not very experienced , ",1,13873
"to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",0,13939
's soulful and unslick ,0,14160
is so engagingly messing around like slob city reductions of damon runyon crooks ,1,14284
seagal ,0,14319
better films ,0,14457
almost bergmanesque intensity ,0,14508
jackass '' fan ,1,14609
a lot of their time ( including mine ) on something very inconsequential ,1,14766
an aging filmmaker still thumbing his nose at convention ,1,14819
"modernizes a.e.w. mason 's story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' bare . ",1,14903
drive past -- even if it chiefly inspires you to drive a little faster ,0,15009
"xerox of other , better crime movies ",1,15282
through some of clancy 's holes ,1,15310
"with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies . ",0,15542
have finally aged past his prime ... ,1,15783
silly ,1,16136
absorbs all manner of lame entertainment ,1,16381
sit through it all ,1,17115
a problem hollywood too long has ignored ,0,17832
nothing else to watch ,1,18288
to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious movie ,1,18299
"'s become one of the movies ' creepiest conventions , in which the developmentally disabled ",1,18570
my ribcage did n't ache by the end of kung pow ,0,18705
"is depressing , ruthlessly pained and depraved ",1,18776
"a film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy . ",1,18909
wilson and murphy show how funny they could have been in a more ambitious movie ,1,18963
`` the road paved with good intentions leads to the video store '' ,1,19111
sneering humor ,1,19149
he script is n't up to the level of the direction ,1,19157
those who are drying out from spring break ,1,19773
"if uneven , ",1,19946
transcends ethnic lines . ,0,20228
"the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",1,21476
takes such a speedy swan dive ,1,21550
", incoherence and sub-sophomoric ",1,21901
"there are no special effects , and no hollywood endings . ",1,22267
little-known perspective ,0,22274
twisted shapes history ,0,22820
"others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ",0,23122
"'s very beavis and butthead , yet always ",0,23136
", no-frills ride ",0,23139
"ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",0,23222
been a more compelling excuse to pair susan sarandon and goldie hawn ,1,24139
"a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ",0,24511
"have been picked not for their acting chops , but for their looks and ",1,24754
simplistic story ,0,24908
is supposed to be madcap farce ,1,25247
"unfolds as one of the most politically audacious films of recent decades from any country , but especially from france ",0,25401
"a rather simplistic one : grief drives her , love drives him ",0,25600
"a popcorn film , not a must-own , ",1,26011
"the script is high on squaddie banter , low on shocks . ",1,26319
believing it was just coincidence ,1,26648
illustrating the demons bedevilling the modern masculine journey ,0,26933
wondering why lee 's character did n't just go to a bank manager and save everyone the misery ,1,26958
